Equipment Category,Manufacturer,Model Or Series,Application,Key Specifications,Throughput Capacity,Materials Of Construction,Budget Price Range,Notes For Magnet Waste
FILTER PRESSES,Diefenbach,OH Series / iONIC Series,Sludge dewatering for metal hydroxide and other industrial sludges; suitable for corrosive/acidic applications like battery recycling.,"Overhead beam design with suspended plates and ~800 mm (31\"") access between plates; robotic cloth washing system up to 100 Bar (1450 psi); options for recessed chamber or membrane plates, core blow, and cake drying.",Not mentioned in source.,Recessed and membrane plates are available in a variety of materials. Can be designed to meet ATEX standards for explosive atmospheres.,Not mentioned in source.,"The iONIC series is specifically designed for highly acidic and corrosive sludges, which could be relevant for sludges generated from acid leaching steps in REE recovery or certain plating wastes."
FILTER PRESSES,ANDRITZ AG,MiningMaster ME4,"Heavy-duty sludge dewatering for mining and minerals applications, including tailings and metal hydroxide sludge.","Plate sizes: 2000x2000 mm and 2500x2600 mm; up to 240 chambers per machine with a total volume of 60,000 liters; high-pressure cloth washing up to 80 bar; achieves cake moisture of ~15%.","Up to 10,000 tons of dry solids per day; capacity from 100 to 170 kg/m²h.",Not mentioned in source.,Not mentioned in source.,"High throughput and large volume make this suitable for large-scale magnet manufacturing facilities (e.g., >5,000 tpy) generating significant volumes of machining sludge or WWTP filter cake. Water recovery of 95% is a key benefit."
FILTER PRESSES,ANDRITZ AG,Sidebar and Overhead Series,"General industrial sludge dewatering, including metal hydroxide sludge.","Sidebar and overhead designs; plate sizes up to 2,500 x 2,500 mm; filtration areas up to 2,000 m²; operating pressures from 7 to 30 bar; chamber plates have a recess of 15-50 mm.",Not mentioned in source.,Standard chamber plates are polypropylene. Rubber lining and PP coating are available options for corrosive applications.,Not mentioned in source.,The ability to customize with rubber lining or PP coatings makes these presses suitable for the potentially corrosive metal hydroxide sludges from a magnet facility's WWTP.
FILTER PRESSES,Jingjin Environmental Protection Inc.,Sludge Dewatering Filter Press (Generic),"Sludge dewatering for various industrial wastes, including hydrophilic, hydrophobic, and oily sludges.",Fully automatic operation with automatic plate shifting and cloth washing; Dimensions (L*W*H): 10800 x 2555 x 4497.5 mm; Total Power: 9.55 kW.,Not mentioned in source.,Drip tray is stainless steel; other materials not specified.,Not mentioned in source.,"The stated suitability for oily sludge makes it a candidate for dewatering sludge generated from oil-based grinding coolants, which can be challenging for some dewatering equipment."
FILTER PRESSES,Met-Chem,Recessed Plate Filter Press,Industrial and municipal sludge dewatering.,Available plate sizes from 470mm (1-5 cu. ft.) up to 1500mm (100-300 cu. ft.); produces filter cakes of 20-85% solids; features automatic pump control system.,Chamber volumes range from 1-5 cu. ft. (470mm) to 100-300 cu. ft. (1500mm). Throughput in m³/h is dependent on cycle time and solids concentration.,"Polypropylene gasketed recessed plates. Specialty coatings (e.g., vinyl ester) available for corrosive environments.",Not mentioned in source.,The availability of specialty coatings is important for handling potentially acidic or corrosive leachates from metal hydroxide sludges in a magnet facility's WWTP.
FILTER PRESSES,"Zhengzhou Toper Industrial Equipment Co., Ltd. (TOPER)",XQ30/630-30U,Small-scale industrial sludge dewatering for various applications including chemicals and minerals.,Manual compression; Plate Size: 630 x 630 mm; Filter Area: 30 m²; Chamber Volume: 452 L; Number of Plates: 37; Filtration Pressure: 0.6 MPa.,"Not specified, but can be estimated from chamber volume (452 L/batch).",Reinforced Polypropylene plates.,Negotiable (no USD price listed).,"This is a small, manual press suitable for laboratory, pilot-scale, or very small production facilities generating minimal sludge volumes. Not suitable for a 1,000 tpy facility's main WWTP."
FILTER PRESSES,"Yantai Toncin Group Co.,Ltd.",SSPF Smart Row Plate Filter Press,"High-capacity sludge dewatering for mining, chemical, and environmental protection industries.",Fast opening/closing design; produces very dry cake (<6% to <10% moisture); Plate size: 1500 x 1500 mm. Model SSPF 80 has 25 m² filter area and 1.5 m³ chamber volume.,"Claimed max capacity up to 10,000 tons of dry solids per day. Capacity per unit area is claimed to be 5-10 times that of ordinary chamber presses.",Not mentioned in source.,Not mentioned in source.,"The claim of achieving <10% moisture content is highly beneficial, as sludge disposal costs are often priced per wet tonne. This high level of dewatering could significantly reduce OPEX for sludge disposal."
DAF SYSTEMS,Xylem / Evoqua,"RT Series (e.g., RT-50A, RT-100A, RT-240A)","Wastewater pre-treatment for removal of Total Suspended Solids (TSS), Biochemical Oxygen Demand (BOD), and Oils & Greases (O&G).","Skid-mounted design with HELLBENDER® whitewater system; integrated flocculation tube; no plate-pack. Model RT-100A has 101 ft² active surface area and 33,300 lbs operating weight.","Flow ranges from 10 to >2,000 gpm (2.3 to >454 m³/h) across 15 models. RT-100A has a nominal flow of 200 gpm (45.4 m³/h).","304 or 316 Stainless Steel tank construction; recycle piping available in PVC, CPVC, 304 SST, 316 SST.",Not mentioned in source (rental and capital sales available).,Excellent for pre-treatment of oily machining wastewater upstream of the main chemical precipitation WWTP. The stainless steel construction provides good resistance to corrosion from coolant additives.
DAF SYSTEMS,Ecologix Environmental Systems,"E Series (e.g., E-405, E-510, E-825)","Industrial wastewater treatment for removal of suspended solids, fats, oils, and greases (FOG).",Combines DAF and Air Charged Entrainment (ACE) technologies; countercurrent scraping mechanism. Model E-510 has a surface area of 722 ft² (67.1 m²).,"Model E-405: 130 US GPM (29.5 m³/h). Model E-1040: 3,700 US GPM (840.3 m³/h).","Standard 304 Stainless Steel, with 316 Stainless Steel available on request.",Not mentioned in source.,"The countercurrent scraping and sludge grating/thickening features are beneficial for producing a denser float sludge, potentially reducing hauling volume and cost for oily machining wastes."
DAF SYSTEMS,EnviroConcepts,DAF Series (DAF002 to DAF200),"Industrial wastewater clarification for removal of oil, grease, and suspended solids.","Max suspended solids input: 2,000 mg/L; Operating pH: 6 to 10; Operating Temp: < 40 °C. Achieves up to 95% TSS reduction with coagulation/flocculation.",Flow capacity from 2 m³/h (DAF002) to 200 m³/h (DAF200).,Available in painted steel or stainless steel.,Not mentioned in source.,"A standard, versatile DAF suitable for general oil and solids removal from combined wastewater streams at a magnet facility. The wide range of model sizes allows for precise matching to facility flow rate."
ION EXCHANGE RESINS,Purolite (Ecolab),Puromet™ MTS9300,"Removal of heavy metals (Cu, Co, Ni, Zn) from wastewater and process streams; brine purification.",Chelating resin with iminodiacetic acid functional groups; Macroporous polystyrene structure; Min. Copper Capacity: 50 g/L; Particle Size: 425 - 1000 µm; Max Temp: 80 °C.,Recommended service flow rate: 10 to 40 Bed Volumes per hour (BV/h).,Macroporous polystyrene crosslinked with divinylbenzene.,Not mentioned in source.,"Highly applicable for polishing effluent from the WWTP to remove trace Ni and Cu from plating rinse water to meet stringent discharge limits. Also has potential for selective recovery of REEs, though selectivity would need testing."
ION EXCHANGE RESINS,Lanxess,Lewatit® MonoPlus TP 207,"Selective removal of heavy metals (Ni, Cu, Co, Zn, etc.) from weakly acidic to weakly basic solutions, including metal finishing effluents and electroplating rinse waters.",Weakly acidic macroporous cation exchange resin with chelating iminodiacetate groups; Mean bead size: 0.61 mm; Total capacity (H+ form): min. 2.0 eq/L; Max operating temp: 80°C; Operating pH range: 1.5 - 9.,Recommended specific flow rate: 5 - 25 Bed Volumes per hour (BV/h).,Styrenic macroporous polymer matrix.,Not mentioned in source.,"Excellent candidate for a Ni/Cu recovery system from plating rinse waters. The high selectivity for Cu and Ni allows for their capture and potential recovery, turning a waste stream into a value stream."
CLARIFIERS/SETTLERS,Parkson Corporation,Lamella® EcoFlow™ (LGS/LGST models),"High-efficiency sedimentation and clarification for industrial process water, potable water, and wastewater streams including metal finishing.",Inclined plate settler with patented EcoFlow™ design increasing capacity by 25%; provides 10x the settling area of a conventional clarifier in the same footprint; plates installed at a 55° angle.,"Models range from 38 gpm (~8.6 m³/h) for the LGS 75 to 1,950 gpm (~443 m³/h) for the LGS 3900.","Standard plates are corrosion-resistant FRP. Optional materials include various FRP grades, stainless steel grades, and FRP or rubber-lined steel tank construction.",Not mentioned in source.,The compact footprint is highly advantageous for retrofitting or expanding a WWTP on a constrained site. The increased sludge thickening capability of the LGST model can reduce the inlet volume to the sludge dewatering press.
CLARIFIERS/SETTLERS,WesTech Engineering Inc.,SuperSettler™,"Sedimentation for municipal and industrial applications, including metal hydroxide wastewater clarification and filtration pretreatment.",Inclined lamella plates in a compact footprint (up to 1/10th the size of a conventional basin); features side entry inlet ports and V-notch weir or submerged orifice launders.,"Not specified, but described as having models for both smaller flow rates (stand-alone units) and larger flows (plate packs).",Available as plate packs for installation in concrete basins or as stand-alone units in stainless steel tanks.,Not mentioned in source.,"Well-suited for the primary clarification step in a conventional chemical precipitation WWTP, settling out the metal hydroxide floc generated after pH adjustment."
CHEMICAL DOSING SYSTEMS,Watson-Marlow (WMFTS),"Qdos Series (20, 30, 60, 120, CWT, H-FLO)","Precise, high-accuracy chemical dosing for wastewater treatment, handling abrasive chemicals like lime slurry and off-gassing chemicals.","Peristaltic pump technology; Accuracy: ±1%; Repeatability: ±0.5%; Max Pressure: up to 7 bar (100 psi); ReNu® and CWT™ pumphead technology for various viscosities; PROFIBUS, EtherNet/IP™, and PROFINET communication options.","Flow rates from 0.1 mL/min (Qdos 20) up to 600 L/hr (10,000 mL/min) for the H-FLO model.","Fluid contact materials include SEBS, PU, Santoprene, and EPDM, chosen based on chemical compatibility.",Not mentioned in source.,"The peristaltic design is ideal for dosing abrasive lime slurry for pH adjustment and viscous polymers for flocculation, as there are no valves to clog, reducing maintenance downtime common with diaphragm pumps in these applications."
CHEMICAL DOSING SYSTEMS,Walchem / Iwaki,"IX, EWP, EZ, EHE, LK, LKN Series","Chemical metering and dosing for coagulants (FeCl3), pH control (NaOH), and other wastewater treatment chemicals.","Diaphragm and air-operated pumps; wide range of flow/pressure ratings. IX Series: 1000:1 turndown ratio and cavitation prevention. LKN Series: Max capacity 114 GPH, max pressure 225 PSI.",Ranges from up to 6.3 GPH (EZ Series) to 856 GPH (LK Series).,"Corrosion-resistant materials such as PVC, PVDF, and stainless steel are recommended. Seals commonly EPDM and Viton.","Starting at $2,128 (IX Series) to $11,104+ (LK Series).","A broad portfolio of standard diaphragm pumps suitable for dosing liquid chemicals like ferric chloride, sodium hydroxide, and sulfuric acid in a WWTP. The material options are critical for chemical compatibility."
MIXER-SETTLERS,Koch Modular Process Systems,SCHEIBEL® and KARR® Columns,Solvent extraction (SX) for rare earth element (REE) recovery and separation.,"Agitated multistage extraction columns; can provide 600+ mechanically agitated stages in a single system; replaces >10 mixer-settlers in a significantly smaller footprint (e.g., 14x26 ft for 60 stages).","Not specified (custom designed per application), but pilot testing is available to determine throughput.",Exotic materials available depending on corrosive properties of the chemical mixture.,Not mentioned in source (custom engineered systems).,This is a key enabling technology for an on-site sludge recycling plant to recover high-purity REEs. Its compact footprint makes it more feasible to integrate into an existing manufacturing site compared to conventional mixer-settlers.
MIXER-SETTLERS,"SX Kinetics, Inc.",Laboratory SX Pilot Plant,"Laboratory and pilot-scale solvent extraction test programs for cobalt, copper, REEs, and other metals.",Modular mixer-settler stages (2 to 40); variable speed mixers with digital RPM indication; adjustable aqueous overflow weirs for interface control; peristaltic metering feed pumps.,Typically 150 mL/min (9 L/h) total flow (organic + aqueous). Some models up to 2 L/min (120 L/h).,Stainless steel frame; polypropylene SX impellers with titanium shafts; flexible tubing with polypropylene fittings.,Not mentioned in source.,Ideal for process development and flowsheet validation for a potential REE recovery circuit from magnet sludge. The small scale allows for testing different solvents and operating conditions with minimal waste generation.
MEMBRANE SYSTEMS,Komline,Reverse Osmosis Solutions,Reverse osmosis for membrane treatment and water purification.,"Backed by 40+ years of membrane treatment design/build experience, ensuring seamless integration and long-term operational success.",Not mentioned in source (custom designed).,Corrosion-resistant materials are used in construction. Not mentioned in source.,Not mentioned in source.,Could be used as a final polishing step for WWTP effluent to achieve Zero Liquid Discharge (ZLD) by producing high-quality permeate for reuse and a concentrated brine for evaporation.