Competitor Company,Headquarters,Founding Year,Ownership Structure,Primary Business Model,Technology Platforms,Target Waste Streams,Geographic Footprint,Processing Capacity,Key Customers Partnerships,Competitive Strengths,Revenue,Weaknesses Risks
Dongjiang Environmental Protection Company,"Shenzhen, China",1999,"Publicly dual-listed on the Hong Kong and Shenzhen stock exchanges. Guangdong Rising Assets Management Co., LTD. (GRAM), a state-owned entity, is the controlling shareholder.","Offers fee-for-service waste treatment and recycling for industrial and municipal waste. This includes hazardous waste processing, resource utilization, and production of recycled products like electroplating-grade copper sulfate. The business model combines service revenue with the sale of recovered materials.","Utilizes various recycling and resource utilization technologies, backed by 46 patents. The company produces high-end copper salt products, indicating chemical processing capabilities. Specific platforms like electrowinning or smelting are not detailed in the sources.","Targets a wide range of industrial and municipal waste, with a significant focus on hazardous and electronic waste, including waste printed circuit boards (post-PCB waste). It is the largest treatment center for copper-containing waste in China.","Primarily focused on China, with a business network covering the Pearl River Delta, Yangtze River Delta, and other major industrial regions. The company serves 22 industrial parks across China.","Manages over 1 million tonnes of hazardous waste annually, with a total waste utilization and disposal capacity of over 3.7 million tonnes per year.","Serves over 15,000 customers, including major industrial electronics producers like Emerson Electronics and Huawei Technologies. The company has strategic alliances with institutions like Tsinghua University and international partners such as Veolia.",An integrated environmental services company with a large footprint in China. It has qualifications for managing 44 classes of hazardous waste and is recognized by the state as a leader in resource conservation and circular economy initiatives. The company operates the largest copper-containing waste treatment and recycling center in China.,USD 1.5-1.8 Billion (2025/26 estimate). Historical revenue was 2.403 billion yuan in 2015. The 'Recycling of Rare and Precious Metals' segment had revenue of 1.5B CNY in 2023.,"The company has faced financial challenges, forecasting a substantial net loss for 2025 due to fierce market competition and industry restructuring. It has also seen declines in operating profit and net profit in recent periods."
Veolia,"Paris, France",Not mentioned in source.,Publicly traded company listed on Euronext Paris (VIE). It holds a 51% majority stake in its subsidiary PCB Decontamination.,"Primarily a fee-for-service provider of integrated environmental solutions, including waste management, water treatment, and energy services. The model includes waste collection, processing, recycling, and disposal, with a growing focus on material recovery for resale.","Utilizes a broad range of technologies including high-temperature incineration for PCB destruction, hydrometallurgical processes for battery recycling, and advanced water treatment technologies. Also employs mechanical sorting and decontamination for metal recovery.","Manages a wide range of hazardous and non-hazardous waste, including industrial effluents, WEEE (computers, electronics), and PCB-contaminated equipment (transformers, capacitors, sludges). The company is also active in recycling EV batteries.","Global presence, with operations across North America, Europe, Asia (including Greater China), Latin America, Africa, and the Middle East.","The Angers, France facility processes 80,000 metric tons of WEEE annually. The Phoenix, AZ facility operates a 96,000-square-foot plant for PCB and mercury waste. An initial trial processed over 12 tonnes of cables from nuclear facilities.","Partners with major industrial companies and OEMs, including Groupe Renault and Solvay for EV battery recycling, GE Renewable Energy for wind turbine blades, and has a service contract with Novartis. Customers include industrial, commercial, and government entities.","Integrated global waste management and environmental services leader with expertise across water, waste, and energy. Veolia has over 15 years of experience in WEEE management, with large-scale production capacity and a focus on circular economy solutions. The company operates a network of fully permitted hazardous waste and electronics recycling facilities.",Consolidated revenue was €27.189 billion in 2019. Over £150m is generated from selling materials extracted from waste.,"Exposed to regulatory risks associated with hazardous waste permits (e.g., TSCA approval renewals). The company's large-scale operations carry inherent environmental and safety risks."
SUEZ,"Paris, France",Over 160 years ago (implied).,Acquired by a consortium led by Meridiam in January 2022.,"Primarily a fee-for-service provider of waste management, recycling, and water treatment solutions. The model includes collection, sorting, processing, and sale of recovered secondary raw materials, as well as operating facilities under long-term contracts.","Utilizes various technologies including incineration, waste-to-energy, anaerobic digestion, composting, and advanced sorting. Also offers industrial water treatment solutions like membrane bioreactors and reverse osmosis. No specific metal recovery technologies like electrowinning or ion exchange are detailed.","Manages a broad range of hazardous and non-hazardous waste, including WEEE, ferrous and non-ferrous metals, cables, industrial liquids, and solvents. The company is starting to recycle strategic materials from EV batteries. Does not specifically mention PCB manufacturing etchants or plating baths.","Global presence with facilities and operations in 18 countries across 5 continents, including Europe, North America, Asia, Africa, and the Middle East.",Processes over 5 million tonnes of waste and produces 2.7 million tonnes of secondary raw materials annually. Hazardous waste treatment capacity is 1.6 million tons per year.,"Serves a wide range of industrial and municipal clients. Notable partnerships include a JV with Heidelberg (Recyfuel), an alliance with Nexans for cable recycling, and service agreements with companies like Arkema and St1.","A major global player in waste management and circular economy services with over 160 years of experience. Strengths include an integrated service portfolio covering the entire waste value chain, a global network in 18+ countries, and expertise in hazardous waste management and waste-to-energy technologies.",€40 million (from a specific deconstruction activity). No overall revenue is mentioned.,"Faces economic pressure when the cost of recycling exceeds the value of recovered materials, especially with low virgin commodity prices. There are also challenges in monetizing hazardous waste services as recovery technologies improve."
Evoqua (Xylem),Not mentioned in source.,Not mentioned in source.,"A brand and business segment of Xylem, following an acquisition/merger in 2023.","Primarily an equipment and service provider. Sells and services water/wastewater treatment systems, including ion exchange services with off-site resin regeneration, equipment rentals, and long-term service contracts.","Offers a broad portfolio including ion exchange systems, electrochemical products (specialized anodes), reverse osmosis, service deionization (DI), and conventional precipitation/filtration systems. The company provides both capital equipment and service-based solutions.","Targets rinse water and wastewater from PCB and microelectronics manufacturing containing metals like Cu, Ag, Au, Pb, Sn, and Ni. The focus is on water treatment for discharge compliance and recycling, rather than recovery from concentrated process baths like etchants.","Global presence, with operations and service capabilities across North America, Europe, China, Taiwan, and other international markets.",Not mentioned in source.,Serves the microelectronics and printed circuit board manufacturing industries. Case studies reference a Midwest printed circuits manufacturer and a Southeast manufacturer for the defense and medical industries. No specific OEMs are named.,"Integrated solutions provider combining water treatment systems, services, and digital technologies. As part of Xylem, it has an expanded portfolio and global reach. Strengths include a strong position in the microelectronics industry, expertise in high-purity water and rinsewater recycling, and compliant ""cradle-to-grave"" management of hazardous media via owned RCRA facilities.",Not mentioned in source.,Not mentioned in source.
EnviroChemie,"Rossdorf, Germany",1976,A private company that is part of SKion Water.,"An engineering and plant construction company that offers turnkey solutions, including consulting, planning, building, and maintaining water treatment plants. The model combines equipment/plant sales with comprehensive service contracts and plant operation management.","Offers a wide range of technologies including physicochemical treatment (Envochem® DOX), biological methods (Biomar®), ion exchange (Envochem® ION), flotation (Lugan®), and membrane processes like microfiltration and reverse osmosis.","Specializes in industrial wastewater, including streams from the plating industry, metal/surface treatment, and rinse waters containing heavy metals and mineral oils. The company's solutions are relevant for treating plating baths and related effluents from PCB manufacturing.","Global presence, delivering plants worldwide. The company has subsidiaries and service locations across Europe (Germany, Switzerland, Poland, etc.), as well as in Brazil and the UAE, serving customers globally.","Not mentioned in source. The capacity is project-dependent, with one cited example treating over 1,000 cubic meters of pure water per hour.","Serves a wide range of industrial sectors, including metal/surface treatment, electronics, and automotive. Case studies feature clients like Galvamé (electroplating) and Stadler Rail, showcasing partnerships with industrial manufacturers.","Over 45 years of expertise in designing and building customized industrial water and wastewater treatment plants. The company offers a ""Made in Germany"" quality proposition, a comprehensive service portfolio from planning to plant operation, and modular plant solutions (EnviModul) for flexibility. It has a strong track record with over 8,000 plants built globally.",$26.6 Million. An older source mentions net income of €100 million in 2017.,Not mentioned in source.
Atotech (MKS Instruments),"Berlin, Germany",1993,"A brand within the Materials Solutions Division of MKS Instruments, following its acquisition in 2021-2022.","Sells a comprehensive portfolio of process chemicals, equipment, software, and services. The business model is focused on providing integrated systems and solutions to manufacturers, combining product sales with on-site technical support and service contracts. The company offers auxiliary equipment like ion exchange systems for bath life extension and wastewater reduction.","Specializes in electroless and electrolytic plating technologies, including advanced reverse pulse plating (RPP) and proprietary chemical processes for copper, nickel, and precious metals. Also provides auxiliary equipment such as ion exchange systems for bath regeneration and wastewater reduction.","While the company's products are used in PCB and plating processes, its primary business is supplying chemistries and equipment, not treating the resulting waste streams. It offers auxiliary equipment (e.g., ion exchange) and chemistries that help customers reduce waste and treat wastewater, such as recovering nickel from rinse water.","Global presence in over 40 countries with manufacturing, TechCenters, and sales sites across all major markets, including a strong and expanding presence in Asia-Pacific (China, Taiwan, Korea, Japan, India).","Not applicable; the company is a supplier of chemicals and equipment, not a recycling/processing service provider.","Serves over 8,000 customers worldwide in sectors such as consumer electronics, automotive, and industrial applications. The company works closely with leading manufacturers and is an approved supplier for major automotive OEMs and their Tier suppliers.","A global market leader in advanced electroplating solutions with an integrated systems-and-solutions approach that combines specialty chemicals, equipment, software, and services. The company has a strong IP portfolio with over 2,200 active patents and an industry-leading global network of 15-16 TechCenters providing extensive R&D and customer support.",$1.2 billion (2024); $1.5 billion (2021).,"Faces competition from other major chemical suppliers like Element Solutions and DuPont. The business is exposed to risks from high raw material costs (e.g., palladium), market acceptance of new technologies, and the need to keep pace with evolving industry trends."
MacDermid Enthone (Element Solutions Inc),"Waterbury, CT, USA",Not mentioned in source.,"A business unit of Element Solutions Inc, a publicly traded company.","Product and equipment sales combined with technical services. The company sells specialty plating chemistries (Au, Ag, Pd, Cu), material recovery/filtration equipment, and wastewater treatment chemical portfolios (WaterCARE) to industrial customers. It also offers solder recycling services.","Provides chemical treatment solutions (WaterCARE metal precipitants), material recovery and filtration systems, and a wide range of electroless and electrolytic plating chemistries for precious and base metals. Does not mention electrowinning, smelting, or biological platforms.","Provides solutions for managing industrial wastewater and process baths from surface finishing and plating operations. The WaterCARE portfolio includes metal precipitants, flocculants, and coagulants. Solder recycling services are also offered. The company does not explicitly state that it processes or takes back spent PCB etchants or plating solutions for metal recovery.","Global leader serving electronics manufacturers worldwide, with locations in the US (Waterbury, CT), Hong Kong, and Germany, indicating a presence in North America, Asia, and Europe.","Not applicable; the company is a supplier of chemicals and equipment, not a recycling/processing service provider.","Serves every level of the electronics manufacturing supply chain, from wafer fabrication to final device assembly. Customer industries include automotive, computing, consumer electronics, medical, aerospace, and telecommunications.","A global leader in specialty chemicals and technical services for the electronics industry. The company offers an integrated portfolio of solutions for the entire manufacturing supply chain, from advanced metal recovery and filtration systems to a wide range of plating chemistries. It emphasizes sustainability through solutions that minimize waste, optimize bath performance, and lower operating costs.",Not mentioned in source.,Not mentioned in source.
DuPont Electronics (Qnity brand),"Wilmington, Delaware, USA (Global Headquarters for DuPont de Nemours, Inc.)",Not mentioned in source.,"Part of DuPont de Nemours, Inc., a publicly traded company. The electronics materials business is being transitioned to the independent, publicly traded company 'Qnity'.",Primarily a product sales and materials solutions provider. The company develops and manufactures specialty chemicals and materials for the PCB and semiconductor industries. It does not operate as a recycling or waste treatment service provider.,"Specializes in chemistries for electroless and electrolytic metallization, including electroless copper, acid copper, electroless palladium, and immersion gold. The company's portfolio also includes dry film photoresists, laminates, and imaging products.","The company's products are used in PCB manufacturing processes (develop, etch, strip), but it does not provide services for treating the resulting waste streams. It does mention developing processes to recover palladium from its own manufacturing wastes. No circularity or take-back services for spent baths are mentioned.","Global presence, partnering with industry leaders and serving customers in electronics, water, protection, and automotive sectors across North America, Asia Pacific, Europe, South America, and Africa.","Not applicable; the company is a supplier of chemicals and materials, not a recycling/processing service provider.","Supplies materials to manufacturers of consumer electronics, automobiles, aerospace, and 5G networks. Has a long-term supply agreement with SK hynix for CMP pads.","A market leader in high-performance PCB materials with a long history and deep expertise in electroless copper plating, flexible laminates, and dry film photoresists. The company has a broad, integrated portfolio of materials and partners with customers at the cutting edge of advanced electronics like AI and 5G. The company offers products that are compliant with RoHS and REACH regulations.",Not mentioned in source.,"As a materials supplier, the business is exposed to fluctuations in the electronics market. The ongoing corporate restructuring and launch of the 'Qnity' brand could present transitional risks. The availability of products may vary by geography."
Purolite (Ecolab),"King of Prussia, Pennsylvania, USA",1981,"A subsidiary of Ecolab, Inc. since its acquisition in 2021.","Manufactures and sells specialty resins and provides related technical and value-added services, including lab analysis, system modeling software (PRSM™), and off-site resin regeneration. The model is focused on product sales and technical support.",Specializes in ion exchange and chelating resin technologies for hydrometallurgy and metal recovery. Products include gold-selective resins (Purogold™) and high-capacity chelating resins for base metals (Puromet™).,"Provides resins for treating industrial wastewater and process streams from metals plating and microelectronics industries. Applications include the removal and recovery of copper and precious metals (gold, platinum, palladium) from acidic solutions and plating liquors.","Global footprint with sales in over 100 countries. It has manufacturing facilities in the USA, China, Romania, and the UK, with R&D centers and sales offices across the Americas, Europe, and Asia-Pacific.","Not applicable; the company manufactures resins, it does not process waste streams for customers. Its manufacturing facilities process millions of cubic feet of resin annually.","Serves highly regulated industries including hydrometallurgy, metals plating, microelectronics, and pharmaceuticals. Partners include equipment manufacturers like Wastech Controls & Engineering.","A global leader in resin-based separation, purification, and extraction technology with over 40 years of experience. The company has a broad portfolio of ion exchange, adsorbent, and chelating resins, strong technical support with a large sales team, and global manufacturing and R&D capabilities.",Estimated annual revenue is between $100M and $500M.,"Gold-selective resins can be more expensive than traditional alternatives like activated carbon. The performance of the resins is highly dependent on the specific conditions and methods of use, which are beyond the company's control."
Lanxess,"Cologne, Germany",2004 (as a separate entity),Publicly traded company listed on the Frankfurt Stock Exchange.,"A manufacturer and B2B supplier of specialty chemicals, plastics, and intermediates. The Liquid Purification Technologies business unit focuses on the sale of ion exchange resins and related technical services, including system design software.","Specializes in ion exchange and adsorbent resin technologies (Lewatit® brand), including chelating resins for selective metal recovery in hydrometallurgical applications. It does not operate smelting or biological recovery platforms.","Provides ion exchange resins for the treatment of industrial process solutions and effluents, including pickling acids, rinse water, and electroplating baths. The resins are used for heavy metal removal and precious metal recovery. While applicable to PCB waste streams, they are not explicitly mentioned as a primary target.","Global presence in 32 countries, with a strong network in Europe, North America (19 production sites), Asia (8 R&D centers and sites in Greater China), and Latin America.","Not applicable; the company is a supplier of ion exchange resins, not a waste processing service provider. The Liquid Purification Technologies business unit has 3 production sites.","Serves a wide range of industries including automotive, electronics, agrochemicals, and pharmaceuticals. The company has established partnerships within the metal industry.","A leading specialty chemicals company with over 80 years of experience in ion exchange resins (Lewatit® brand). Strengths include a broad portfolio of high-quality products with a smaller carbon footprint, proprietary design software (LewaPlus®), and a global technical sales and production network.",€6.4 billion (2024). The US corporation reported $603.8 million.,"The business is exposed to broader chemical industry pressures, including demand fluctuations, high energy prices, and supply chain issues. The company anticipates a gradual recovery in the sector."
ResinTech,"Camden, New Jersey, USA",1986,"Privately held, family-owned business.","Manufactures and sells a wide range of ion exchange media, activated carbon, and water purification systems. The model combines product sales with comprehensive services, including off-site resin regeneration for metal-bearing resins and wastewater treatment consulting.",Specializes in ion exchange and specialty adsorbent media. Offers closed-loop wastewater treatment systems (Aqua Cycler MAX) based on its resin technology. Does not engage in smelting or biological recovery.,"Provides solutions for precious metals recovery, heavy metals reduction, and wastewater treatment for the circuit board manufacturing and metal finishing industries. This includes treating dragout rinse streams and other process waters.","Global presence with products sold in over 100-150 countries. The company has manufacturing facilities in the USA, Italy, and China, with multiple operational sites across the US, Canada, and the UK.","Manufacturing capacity is described in terms of resin volume, with over 2.5 million cubic feet of media produced or processed annually across its facilities. It does not process waste for customers at a large scale, but offers resin regeneration.","Serves a diverse range of customers including water treatment dealers and operators, as well as respected scientific institutions like the NIH and FDA. It provides solutions for industrial and laboratory applications.","A global leader in ion exchange technology with over 35 years of experience. The company is uniquely vertically integrated, manufacturing its own resins, consumables, and hardware in the USA. It offers strong technical support, including world-class lab services and custom product engineering.",$306.2 Million,Not mentioned in source.
De Nora,"Milan, Italy",1923,Publicly listed company on the Euronext Milan exchange. Key industrial partners include Snam S.p.A.,"Primarily an equipment and technology supplier. The model is focused on the sale of electrodes, coatings, and water treatment systems, complemented by a substantial aftermarket services business that includes repair, recoating, and spare parts.","Specializes in Electrode Technologies, offering proprietary DSA® and MMO anodes for electrowinning and other electrochemical processes. The portfolio also includes Water Technologies like filtration and contaminant removal systems (De Nora SORB®). The company also offers ion exchange solutions.","Provides solutions for the Printed Circuit Board (PCB) production and Surface Finishing/Plating industries. Its technologies are used for copper foil electrodeposition, copper electrowinning, and recovering valuable metals from industrial wastewater and bleed streams. This implies applicability to plating baths and rinse waters.","Global presence, serving customers in 100 countries. The company has 15 manufacturing facilities and operates in EMEIA, Asia, and the Americas, with sites in Italy, Germany, USA, Brazil, Japan, China, and India.","Not applicable; the company is an equipment supplier, not a waste processor. It notes having the world's largest electrode production capacity, with a target of 4.5 GW equivalent elements by 2026.","Partners with leading metal refineries, mining companies, and chemical producers. Has a key joint venture with thyssenkrupp (tk nucera). Its anodes are widely used by leading PCB manufacturers and equipment suppliers.","A leading supplier of high-performance electrodes and electrochemical solutions with a history of over 100 years. The company is the world's largest supplier of electrodes for industrial electrochemistry, with a strong IP portfolio (280+ patent families), global manufacturing footprint, and significant aftermarket services revenue.",€856.4 million (FY 2023),Faces strong competition in markets like China from local players offering lower-performing technologies at a lower cost. The business is also exposed to cyclical downturns in the electronics market.
ElectraMet,"Lexington, Kentucky, USA",Not mentioned in source.,Not mentioned in source.,"An equipment and service provider that sells or contracts its modular, automated electrochemical systems for on-site metal recovery. The model creates a new revenue stream for customers from the sale of recovered high-purity metals, which can offset treatment costs.","A proprietary, automated electrochemical process using tailored carbon electrode cartridges to selectively capture dissolved metals as a pure, solid product. This is presented as a more efficient alternative to traditional electrowinning and chemical precipitation.","Targets a wide range of industrial process and wastewater streams containing dissolved metals. This explicitly includes PCB manufacturing waste such as spent etchant loops, degrease/rinse lines, and dilute metal discharge streams containing Cu, Ag, and Au. Also targets plating baths and microelectronics wastewater.",Based in the US and serves global industry leaders. No specific international offices or facilities are mentioned.,"The systems are modular and scalable. One case study at a PCB fab demonstrated a copper removal rate of 10.8 kg/hour (approx. 64,800 kg/year).","Serves ""global industry leaders"" across sectors including PCB manufacturing, semiconductor, battery recycling, medical devices, and aerospace. Specific customer names are not disclosed.","An innovative, automated electrochemical process that selectively removes and recovers metals without chemical additives or sludge generation. The technology is modular, scalable, and offers high efficiency and purity (>99.9%) for recovered metals like copper. It also enables significant water recovery (up to 99.99%) and reduces Scope 3 emissions by eliminating waste hauling.",Not mentioned in source.,"The technology typically requires pre-treatment for solids removal to prevent the blinding of electrode cartridges. As a newer technology, it faces the challenge of competing with entrenched, traditional methods like chemical precipitation."
EnviroLeach Technologies,"Burnaby, British Columbia, Canada",2016,Publicly traded company listed on the CSE (ETI) and OTCQB (EVLLF).,"A technology company that is developing and commercializing its proprietary leach formula. The model includes becoming a direct producer of precious metals from e-waste (""urban mining"") and licensing its technology to partners like Jabil.","A proprietary water-based hydrometallurgical leach process using a reusable, non-toxic, neutral pH formulation. The reagent is regenerated using a proprietary electrochemical process. Metal recovery from the solution is achieved using conventional methods like ion exchange, electrowinning, or precipitation.","Focuses on recovering precious and base metals (Au, Ag, Pd, Cu, Sn) from end-of-life electronic waste (e-waste), particularly printed circuit board assemblies (PCBAs). Also processes mining ores and concentrates. It does not target liquid manufacturing waste streams.","Based in Canada and positions itself as a ""domestic alternate solution"" for North America. The company is building a global supply chain for PCBAs and has received inquiries from companies in 17 countries. It has a feedstock agreement covering Europe and Asia-Pacific.","The company's e-waste production plant has a stated capacity of 3,600 tonnes per year. A pilot plant demonstrated a processing rate of 1 tonne per hour. It has a feedstock agreement for 100 metric tons per month.","Has strategic global partnerships with major manufacturing service provider Jabil, technology company Mineworx, and Element Six (part of De Beers Group). The company also works with mining clients for concentrate processing.","A proprietary, environmentally friendly hydrometallurgical leach process that is non-cyanide and non-acid based, operating at neutral pH and ambient temperatures. The technology claims faster leach kinetics than cyanide, high metal recovery rates (>90%), and a reusable, water-based formulation with ingredients that are FDA-approved for human consumption.",$5 Million (2026),"As a newer technology, it faces challenges in securing a reliable and suitable feedstock of PCBAs to scale commercially. The business is also exposed to market and operational risks, including the impact of events like the COVID-19 pandemic on the e-waste supply chain. Financials are based on projections."